100 2     0  
100 3     0  
100 4    0.001  
100 5    0.003  
100 6    0.014  
100 7    0.069  
100 8    0.334  
102400 2    0.008  
102400 3    0.015  
102400 4    0.058  
102400 5    0.541  
102400 6    12.01  
102400 7    301.3  
12800 2    0.002  
12800 3    0.002  
12800 4    0.012  
12800 5    0.158  
12800 6    3.047  
12800 7    51.35  
13107200 2    1.055  
13107200 3    2.081  
13107200 4    6.241  
13107200 5    27.01  
13107200 6    373.6  
1600 2     0  
1600 3    0.001  
1600 4    0.003  
1600 5    0.038  
1600 6    0.437  
1600 7    5.527  
1600 8    66.33  
1638400 2    0.123  
1638400 3    0.278  
1638400 4    0.893  
1638400 5    4.24  
1638400 6    73.24  
200 2     0  
200 3     0  
200 4    0.001  
200 5    0.006  
200 6    0.058  
200 7    0.245  
200 8    2.151  
204800 2    0.015  
204800 3    0.03  
204800 4    0.098  
204800 5    0.997  
204800 6    21.67  
25600 2    0.002  
25600 3    0.004  
25600 4    0.02  
25600 5    0.234  
25600 6    5.161  
25600 7    96.42  
3200 2    0.001  
3200 3    0.002  
3200 4    0.009  
3200 5    0.049  
3200 6    0.858  
3200 7    13.42  
3200 8    162.4  
3276800 2    0.266  
3276800 3    0.551  
3276800 4    1.524  
3276800 5    7.231  
3276800 6    118.2  
400 2     0  
400 3     0  
400 4    0.001  
400 5    0.011  
400 6    0.088  
400 7    0.904  
400 8    8.41  
409600 2    0.031  
409600 3    0.063  
409600 4    0.217  
409600 5    1.575  
409600 6    30.55  
51200 2    0.004  
51200 3    0.008  
51200 4    0.034  
51200 5    0.4  
51200 6    7.826  
51200 7    163.4  
6400 2    0.002  
6400 3    0.002  
6400 4    0.011  
6400 5    0.087  
6400 6    1.554  
6400 7    26.79  
6553600 2    0.59  
6553600 3    1.116  
6553600 4    3.426  
6553600 5    19.94  
6553600 6    205.2  
800 2     0  
800 3    0.001  
800 4    0.004  
800 5    0.024  
800 6    0.204  
800 7    2.473  
800 8    25.58  
819200 2    0.065  
819200 3    0.175  
819200 4    0.473  
819200 5    2.935  
819200 6    50.63  
